signal_id,sample_code,scs_label,Ignition_Temp,Spectral Centroid,SNR_raw,Spectral Bandwidth 5,Spectral Entropy 4,Spectral Centroid 3,Kurtosis,RMS value,Absorption Proxy,P2P,Wave Energy 3,Acoustic Velocity,Peak Time,Spectral Centroid 2,Dominant Frequency 1 peak,Spectral Bandwidth 3,Wave Entropy,P2P-TDB3,Peak Duration,Spectral Centroid 4,Dominant Frequency 2 peak
Low_C4_P5_05,C4,Low,439.72,4.511399715348778,19.3960800099363,0.06188602589810119,0.8856000414977759,0.6782038875318327,274.2419564935586,0.0022603063056505857,0.0043793774906647,0.00549911646079336,3.109218481286942e-11,1734.1040462427748,3.46e-06,0.5054671834839787,0.22970903522205205,0.047928093127587015,0.898087601501315,0.00011118056501137569,8.862161679873355e-07,0.9004878284565122,0.49770290964777947
Low_C4_P5_10,C4,Low,439.72,4.530668873848661,20.709318594897553,0.06336874789842444,0.9203364277831169,0.6697334433302707,260.47103742893535,0.0022425343926679472,0.00436769145082693,0.005509133066368551,3.4572162560594445e-11,1734.1040462427748,3.46e-06,0.5038572069830415,0.22970903522205205,0.047412846546512545,0.8916184524232292,0.00013857810320099548,8.31548091561275e-07,0.9025737581425701,0.49770290964777947
Low_C13_P1_05,C13,Low,334.714,5.359276133419404,21.054659146861464,0.07608141587106457,0.9287618948380953,0.669538869266988,163.95015281621193,0.0020608400844856047,0.00482545032561429,0.00617690677138293,1.1372385803618879e-11,779.2207792207791,7.7e-06,0.48486491085327754,0.3828483920367534,0.058387043571032485,0.8820919530269247,0.00017873927801574272,1.8353145334306749e-06,0.9106795797063817,0.49770290964777947
Low_C13_P1_10,C13,Low,334.714,5.303496473432188,20.133080446956427,0.07378222621649573,0.9462665905404118,0.6676644179870757,177.2482445145636,0.0021153768732156686,0.004927285815629,0.00630244822792565,1.411264439208259e-11,819.672131147541,7.32e-06,0.48450593250573254,0.3828483920367534,0.05342412226449902,0.887925609619247,0.0001900055377416536,1.9181146190129495e-06,0.9056587831187942,0.49770290964777947
Low_C13_P2_05,C13,Low,334.714,5.291071226313433,20.05844718446052,0.07632696610442873,0.9771289091776784,0.688690350968982,211.34042115679225,0.0021087451582286754,0.00493162634471157,0.006273066184905,2.4821584895272635e-11,699.3006993006994,8.58e-06,0.4973623717440893,0.34456355283307805,0.05290547867492794,0.9063479347146036,6.546603070378436e-05,4.067831483512949e-06,0.8948548341679651,0.4594180704441041
Low_C13_P2_10,C13,Low,334.714,5.284977849955333,20.468747870596466,0.07559089626416583,0.9575725145065255,0.6887672667634994,208.69143967041316,0.002159111377947882,0.00498438046740772,0.00626572067414985,3.028175400041063e-11,707.5471698113207,8.48e-06,0.494237419123027,0.34456355283307805,0.052958240003595766,0.9044783425261581,9.688605099127488e-05,2.105292740485668e-06,0.8897114856314191,0.4594180704441041
Low_C13_P3_05,C13,Low,334.714,5.162878808242473,23.78602060449074,0.0730948282277669,0.947667019821747,0.6727368978966467,154.8457561268265,0.002167863092719235,0.0049974020546555,0.0062567057291321605,3.2626445573100324e-11,804.289544235925,7.46e-06,0.4852705190956313,0.3828483920367534,0.048378977444325746,0.8674738762783042,0.0001502450942688758,1.8670355744424601e-06,0.8983665750653228,0.42113323124042873
Low_C13_P3_10,C13,Low,334.714,5.091513214277977,23.308736438753286,0.0748832391965921,0.9382124278289217,0.672748274139863,158.20613811731943,0.0021880966912142456,0.00498137548573515,0.006198609416795909,2.5152098145741528e-11,800.0,7.5e-06,0.4822509422272136,0.3828483920367534,0.04903121454454687,0.8725833643045758,0.00015185228507751727,2.3319069842041794e-06,0.9053284589749666,0.42113323124042873
Low_C13_P4_05,C13,Low,334.714,5.3486275625458255,20.805083949292566,0.07445948880235806,0.9792521359970319,0.6768644228524909,196.1081759421909,0.002115670895127071,0.00500074092318057,0.006291096074940401,4.097381415723011e-11,795.7559681697613,7.54e-06,0.48882773216629444,0.3828483920367534,0.05397571401407199,0.9021331339486237,0.00012076600008483835,1.972976437065587e-06,0.8935578123609099,0.49770290964777947
Low_C13_P4_10,C13,Low,334.714,5.3862972938548905,20.01461380589245,0.07835556320884454,0.9623383349472253,0.679626228740034,204.9445261462563,0.0021304315914229114,0.00494197683713931,0.00624201470762185,3.967942450832635e-11,779.2207792207791,7.7e-06,0.4903582281111028,0.3828483920367534,0.05455801449607869,0.9092970466382918,0.00010211716570469398,2.166527279554016e-06,0.8980275236905921,0.49770290964777947
Low_C13_P5_05,C13,Low,334.714,5.297964095003971,19.774937452880067,0.0754377734261601,0.8929856143404836,0.6687331131751504,186.07416342262846,0.002089150894312797,0.00499840371521302,0.00633249804465129,9.069012089068229e-12,763.3587786259543,7.86e-06,0.49224294825850073,0.3828483920367534,0.057352041953952944,0.8987032037043085,0.00010036092785818312,1.9811269922563554e-06,0.9202966403937705,0.49770290964777947
Low_C13_P5_10,C13,Low,334.714,5.367678080343695,20.44152678164114,0.07608337706492338,0.905284551981808,0.6671013692040871,196.11657110613854,0.0020728912468607665,0.00490124264113343,0.00630311600163066,7.996641554727526e-12,753.7688442211055,7.96e-06,0.4894662888580773,0.3828483920367534,0.05529839075220115,0.9040279643234949,0.00011318589500673685,1.8809459266981322e-06,0.9169495025034431,0.49770290964777947
Low_C14_P1_05,C14,Low,339.829,5.119775756036738,21.21305434322398,0.07532300244288066,0.9497454141185085,0.670434244913012,56.22684764153384,0.002238979993536693,0.0039887298732313,0.0032961310079509497,2.9521738572430504e-11,779.2207792207791,7.7e-06,0.4926312757756024,0.3828483920367534,0.05726832293110068,0.8192694672619689,0.00013987129440199358,1.8629234461180384e-06,0.9139998612351602,0.49770290964777947
Low_C14_P1_10,C14,Low,339.829,5.203764653589951,20.46757688792914,0.07602185955753002,0.9388840627029448,0.6723262767038647,54.1066714884904,0.0022624504355961456,0.00406151720707787,0.0033412057330394224,2.6675077676254724e-11,787.4015748031496,7.62e-06,0.4892923365573773,0.3828483920367534,0.05911763361830409,0.8184289327930968,0.00013123226476842594,1.6131079228284952e-06,0.914457801423439,0.49770290964777947
Low_C14_P2_05,C14,Low,339.829,5.268978522537248,19.452945300303956,0.07562206981304702,0.9685239897697506,0.6810863784948059,64.41572952543844,0.002272758009799069,0.00409958030826369,0.003486112627027544,2.6469716029101944e-11,831.0249307479224,7.22e-06,0.48955497809723364,0.22970903522205205,0.05209059824611827,0.8275109101513755,0.00011798560116206487,1.5172387950689992e-06,0.9093227085613658,0.42113323124042873
