signal_id,sample_code,scs_label,Fixed_Carbon,RMS value,P2P,Dominant Frequency 1 peak,Spectral Entropy 2,Dominant Frequency 3 peak,Absorption Proxy,Dominant Frequency 2 peak,SNR_raw,Spectral Entropy 1,Spectral Entropy 3,Spectral Bandwidth 4,Spectral Centroid,Skew Value,SNR_Processed,Spectral Entropy 4,Spectral Centroid 1,Spectral Centroid 2,Spectral Bandwidth 1
Low_C3_P6_05,C3,Low,,0.0019652364697948154,0.00548275600502051,0.30627871362940273,0.8980805136183548,0.7656967840735068,0.00409991419511619,0.4594180704441041,22.295443944741212,0.8315161342132199,0.6150510952745438,0.06061515496086168,6.213849837480695,-4.453195201051547,23.628013005631434,0.9021644102272445,0.2957103945796898,0.486723853596027,0.043137325690678005
Low_C3_P6_10,C3,Low,,0.0020086852855966714,0.00547941713649544,0.2679938744257274,0.9242018199041674,0.7656967840735068,0.00412128295367665,0.4594180704441041,23.058532475084526,0.9713500242371746,0.5345356715438908,0.06156743887832488,6.202263958167321,-4.704242178893433,22.79339346815985,0.9085957870226726,0.3001213197984353,0.4981096280682512,0.052650729203605265
Low_C4_P1_05,C4,Low,43.78,0.0023337796593246346,0.00547207162574027,0.30627871362940273,0.9904342425548314,0.6125574272588055,0.0044865551703195,0.57427258805513,22.160596719924733,0.6685814637893379,0.8023754546288401,0.05207839512182716,4.387647482241462,-8.28420417616953,16.978943315442706,0.8668616853473005,0.28796754988012124,0.4983615101585407,0.048627217322037265
Low_C4_P1_10,C4,Low,43.78,0.0022529126489220738,0.00549844868708833,0.22970903522205205,0.9348507239061563,0.6125574272588055,0.00441844225240803,0.57427258805513,20.98729467177234,0.7953662161238718,0.8446455211974578,0.05359416378551708,4.483066610799297,-8.631811168404752,19.746292002758384,0.8736422893265278,0.2883587921336983,0.5065173183778798,0.05027324085927205
Low_C4_P2_05,C4,Low,43.78,0.0021563622441688936,0.00553551012771664,0.22970903522205205,0.9652462435632331,0.6125574272588055,0.00427921143491254,0.4594180704441041,22.013567516743922,0.8663116922604862,0.7305807889855576,0.054528134907506444,4.615883091491425,-8.897034435651939,18.2276757769165,0.8695810363796274,0.2873874682506342,0.49109152000858697,0.0513615724010864
Low_C4_P2_10,C4,Low,43.78,0.0022261132314085014,0.00549243872374321,0.22970903522205205,0.8692006697809714,0.6125574272588055,0.00434598880541398,0.4594180704441041,21.416239293574215,0.8195943448516195,0.5912873636497511,0.054680109176104094,4.571381681114629,-8.257566978890713,16.684662748699076,0.8801433602045765,0.28397412007737677,0.494739969608294,0.050397893664951225
Low_C4_P3_05,C4,Low,43.78,0.002216261994771177,0.0055371795619791695,0.30627871362940273,0.9569126859653144,0.6508422664624809,0.00438204858548475,0.4594180704441041,20.784129409053634,0.6383342283119181,0.6882372517564742,0.05982493135903106,4.555391187100295,-7.947152140150712,14.599463048891552,0.9550877143038389,0.27872413449516187,0.49342737411902027,0.03885631798519438
Low_C4_P3_10,C4,Low,43.78,0.002217553919876191,0.00549778091338332,0.30627871362940273,0.9836100923354467,0.6508422664624809,0.00434632269226648,0.42113323124042873,22.134044544114957,0.7710419825793339,0.6704286568238768,0.059954254720927455,4.587292644781195,-9.155105009362382,17.859440904115225,0.9534122395384457,0.2868439901802833,0.49289625057745046,0.04677635650183632
Low_C4_P4_05,C4,Low,43.78,0.0023281393846354,0.00550212144246591,0.2679938744257274,0.8707997684519937,0.7656967840735068,0.00448121298067938,0.5359877488514548,24.002737138041756,0.9585718525903146,0.8505787934138116,0.07592518930336764,4.387392880148027,-8.812108365106456,24.642052293005033,0.827575104977846,0.30416060544223056,0.5083177957304249,0.056240250925129145
Low_C4_P4_10,C4,Low,43.78,0.0023247477258677273,0.00547273939944529,0.3828483920367534,0.8513056138942918,0.7274119448698315,0.00445516980618383,0.57427258805513,22.9105841668814,0.9095353045034268,0.8282068438307314,0.07925581236077822,4.417199017546538,-8.86507974963154,19.14940417260157,0.759420904493852,0.3075100909788616,0.5151681651947189,0.05845064246694333
