signal_id,sample_code,scs_label,Ash_Content,Area under FFT curve_raw,Magnitude of dominant frequency_raw,Spectral Bandwidth 1_raw,Spectral Bandwidth 2_raw,Spectral Bandwidth 3_raw,Spectral Area 1,Spectral Area 2,Spectral Area 3,Spectral Area 4,Spectral Entropy 1,Spectral Entropy 2,Spectral Entropy 3,Spectral Entropy 4,Absorption Proxy_proc,Peak Time_proc,Rise time_proc,Fall time_proc,Signal Energy_proc,Area under the curve_proc,1st peak magnitude/2nd peak magnitude
Low_C4_P5_05,C4,Low,27.94,0.00026266871307799604,2.028911591831185e-05,0.05261305683913254,0.04557649063340239,0.047928093127587015,1.0621121857897225e-06,1.2042289041014941e-06,2.0235940434844555e-06,2.2082632916217104e-06,0.623092774325588,0.8677886013491463,0.8255901489505919,0.8856000414977759,0.0043793774906647,3.46e-06,4.689152224835883e-07,2.2656628964690867e-06,2.4224955578094153e-06,8.358882104730382e-10,1.6636279170220705
Low_C4_P5_10,C4,Low,27.94,0.0002637318465912818,2.1748331252818235e-05,0.050497531716721,0.045559233748857654,0.047412846546512545,1.1836358932593198e-06,1.0922585745157895e-06,2.079983662445033e-06,2.19168900794804e-06,0.6547042804951617,0.8767893548592423,0.7973920825168734,0.9203364277831169,0.00436769145082693,3.46e-06,5.072842560701566e-07,4.788255058998815e-07,2.782642734023343e-06,8.649857494873021e-10,1.6064044849873562
Low_C13_P1_05,C13,Low,15.59,0.00027934990617206834,2.841997948255856e-05,0.05576927328565569,0.0452753181221376,0.058387043571032485,2.4183434724955045e-06,2.55299031756941e-06,1.1767229506235057e-06,1.2249589509127342e-06,0.7321636941021682,0.7657478335097169,0.7377677603251013,0.9287618948380953,0.00482545032561429,7.7e-06,1.3427799820461554e-06,4.050684254948411e-06,4.153735828807632e-06,1.0835918083645216e-09,1.438450514968198
Low_C13_P1_10,C13,Low,15.59,0.0002823522771823206,2.9030378680482074e-05,0.05447630213214688,0.04504286264991031,0.05342412226449902,2.268227104424749e-06,2.411323674703754e-06,1.276384704704422e-06,1.0452131585798517e-06,0.6766313806727501,0.7104851391453256,0.7338762083051137,0.9462665905404118,0.004927285815629,7.32e-06,8.731539544168749e-07,9.130381838721641e-07,3.921465328518285e-06,1.0122670574121307e-09,1.4817753220760432
Low_C13_P2_05,C13,Low,15.59,0.00027708404973989073,3.7658777509975366e-05,0.04923388940997886,0.05424022168081433,0.05290547867492794,3.2502455676197e-06,3.63643403647025e-06,1.943489386611485e-06,2.0009512062480267e-06,0.7604770331868117,0.919913445984182,0.991393166859081,0.9771289091776784,0.00493162634471157,8.58e-06,1.3083737272060646e-06,3.091301078344447e-06,2.8869726964903056e-06,7.99556113539305e-10,1.9639883598202887
Low_C13_P2_10,C13,Low,15.59,0.0002795238011055186,3.602583080154417e-05,0.04734473101430682,0.054099699780636466,0.052958240003595766,3.3358362982952626e-06,3.544076170684975e-06,2.1473490977040596e-06,1.7475267796612929e-06,0.8137493037171678,0.8826410065853945,0.9921050791086655,0.9575725145065255,0.00498438046740772,8.48e-06,1.6152681060738212e-06,3.112929508276126e-06,3.137397467037488e-06,8.903040004996454e-10,1.3658184840075618
Low_C13_P3_05,C13,Low,15.59,0.00028559055019840063,5.264749773238788e-05,0.05840428730922569,0.05057579394072238,0.048378977444325746,3.7350016551590258e-06,4.465491786969704e-06,1.9086148174566364e-06,1.1323761439545082e-06,0.7276774467809839,0.8985922396905113,0.7348003264831562,0.947667019821747,0.0049974020546555,7.46e-06,1.4213037745015381e-06,3.60668076828284e-06,6.8145073899122386e-06,1.1973935873229263e-09,2.6057134875530803
Low_C13_P3_10,C13,Low,15.59,0.00028349727521957387,5.1941124961492444e-05,0.058933407152467254,0.050435753775200036,0.04903121454454687,3.6366477695934482e-06,4.456960986095875e-06,1.7325349391079308e-06,1.053994722437936e-06,0.7205147946896954,0.8722316907060259,0.7915015601147405,0.9382124278289217,0.00498137548573515,7.5e-06,1.1581467438810784e-06,3.3480802228581746e-06,6.92671270330201e-06,1.243618714680506e-09,1.8456275327426472
Low_C13_P4_05,C13,Low,15.59,0.0002795798515303677,3.584578598180509e-05,0.05689001445881086,0.047781635833652254,0.05397571401407199,2.933164619539905e-06,3.337299639088416e-06,2.401112695616084e-06,1.8592980315387592e-06,0.7977360519032788,0.7491973171342214,0.9075095553981646,0.9792521359970319,0.00500074092318057,7.54e-06,9.175075476381856e-07,2.8224082661250792e-06,3.0505114210771313e-06,8.141412817135263e-10,1.4829144327119765
Low_C13_P4_10,C13,Low,15.59,0.0002797392575786866,3.558526513505244e-05,0.05759345064892963,0.04795163621755772,0.05455801449607869,2.742543511496586e-06,3.4779082822772487e-06,2.36061990474514e-06,1.7245535104227741e-06,0.7898521803009254,0.7792142018714086,0.912342768982749,0.9623383349472253,0.00494197683713931,7.7e-06,1.0194538217909012e-06,3.082024133720215e-06,2.9141165662223084e-06,7.303621133649313e-10,1.2689772365249885
Low_C13_P5_05,C13,Low,15.59,0.00028093575539220685,3.079701235422818e-05,0.060042595677127455,0.04735357735453002,0.057352041953952944,2.7750749456933235e-06,3.0329034495441377e-06,1.061783302179839e-06,1.3105699483374169e-06,0.9010783033017008,0.8525057787698944,0.7396070840205032,0.8929856143404836,0.00499840371521302,7.86e-06,1.2924670148505472e-06,3.6326350108437044e-06,3.0238611852418894e-06,8.365616050243262e-10,1.1505131024398185
Low_C13_P5_10,C13,Low,15.59,0.00027944884700568245,2.9031740952239838e-05,0.059034702613301036,0.04640580418613257,0.05529839075220115,2.6248034756286135e-06,2.7953871243753858e-06,9.738186401026246e-07,1.1767610653484003e-06,0.8826380468145434,0.8541941900903557,0.7429037352807373,0.905284551981808,0.00490124264113343,7.96e-06,9.720339255889847e-07,3.0837607447045297e-06,2.8699422976794664e-06,7.863564494678873e-10,1.055670872827289
Low_C14_P1_05,C14,Low,13.09,0.00023732041615592866,3.634792218967425e-05,0.06029368336162599,0.04684235585954958,0.05726832293110068,3.6282681317901676e-06,3.443565349082495e-06,1.8946640753507147e-06,2.0749209545267323e-06,0.8929262487761125,0.7750993706172343,0.7719795046349486,0.9497454141185085,0.0039887298732313,7.7e-06,1.1992554225773063e-06,2.416285887897291e-06,4.075303586345166e-06,9.458132725581135e-10,1.0269917874745775
Low_C14_P1_10,C14,Low,13.09,0.00024101648935499653,3.338464221933909e-05,0.05991801685899921,0.04848368264005809,0.05911763361830409,3.680005083188077e-06,3.2466650690114053e-06,1.7799511264676889e-06,2.0361628035957576e-06,0.8977224827661779,0.834955466519487,0.7690265712848363,0.9388840627029448,0.00406151720707787,7.62e-06,1.312303333821197e-06,2.7383426221674876e-06,4.597433763371833e-06,1.078106140035176e-09,1.1022673398616791
Low_C14_P2_05,C14,Low,13.09,0.00024323928165522824,4.0077305123735336e-05,0.06652900779101616,0.053111272420434674,0.05209059824611827,2.777228779002518e-06,2.341148148973082e-06,1.848160531509969e-06,2.4266990233459625e-06,0.704777499453579,0.7663904651672916,0.8338525668430922,0.9685239897697506,0.00409958030826369,7.22e-06,9.120212056231982e-07,1.6996857337025544e-06,2.755746948919869e-06,8.055579815859977e-10,1.3670536082904394
Low_C14_P2_10,C14,Low,13.09,0.0002413679214136053,3.915793260075436e-05,0.06472129467608528,0.05352119103828711,0.05279656338942662,2.9615982827765302e-06,2.5236780441764645e-06,1.4513965413921443e-06,2.392676351060276e-06,0.731255563837426,0.8263780583194273,0.7660180716217739,0.9625646515380295,0.00406518996245544,7.54e-06,8.993889074660688e-07,1.1480864840909524e-06,2.9606698179064218e-06,8.211025448296842e-10,1.313761319878687
Low_C14_P3_05,C14,Low,13.09,0.00024273052712307623,3.993185538288164e-05,0.06089051070531884,0.04358978970864932,0.056943265705599336,3.5509348967241625e-06,2.3764714071001534e-06,1.5308916823004235e-06,2.2956562244258063e-06,0.8504988578009051,0.6170401010221265,0.8314325958293026,0.9445025810096712,0.00414131616482708,7.84e-06,1.0256468928684208e-06,1.3607877241500965e-06,3.048205078097772e-06,8.591105328327077e-10,1.3443611865076746
Low_C14_P3_10,C14,Low,13.09,0.0002418608833196884,3.806767075263811e-05,0.060734110370053385,0.04186405470470788,0.05593730424021681,3.6081831401387112e-06,2.140009386869097e-06,1.5133221391400166e-06,2.1176923191819476e-06,0.8570895972201256,0.5382617082259445,0.7946267181526668,0.955183590517944,0.00410458861105129,7.7e-06,2.0094008413454105e-06,2.6748361550750363e-06,2.9945417533521946e-06,8.294260806445882e-10,1.2655870632557846
Low_C14_P4_05,C14,Low,13.09,0.00024090299746635016,3.83194596445463e-05,0.05895147368895762,0.05167862956342861,0.058912189902340456,3.432796943434427e-06,4.0876939446572695e-06,1.3851672514702174e-06,2.0936048268348942e-06,0.8649663804536336,0.8759127354003937,0.6971248427581513,0.9419443891799091,0.00406385441504542,8.26e-06,1.917363445206793e-06,2.826502447251185e-06,4.312529975772482e-06,9.706427053111231e-10,1.3583115641079093
Low_C14_P4_10,C14,Low,13.09,0.0002425506184062132,3.84365271478996e-05,0.05770507781243244,0.04970724927949361,0.053761046103042096,3.4653020033799255e-06,3.959232799308917e-06,1.5868239840009677e-06,2.153061500153535e-06,0.8617548047642626,0.8376463533697469,0.7096542638723367,0.9707667553637261,0.00409357034491855,8.02e-06,1.0612811663495103e-06,2.5450048510950677e-06,4.093705038092667e-06,9.068218297288683e-10,1.8662711112229653
Low_C14_P5_05,C14,Low,13.09,0.00023975260164957427,3.629778370751121e-05,0.05920283236692436,0.05206724559361223,0.05266228755828763,3.5502650506319787e-06,2.5321172928696812e-06,1.6831604713885286e-06,1.8692845990393843e-06,0.9156063602018751,0.8279293929693273,0.9059274240424922,0.9659828714228327,0.00408088264452328,7.32e-06,1.391271799186795e-06,1.0827762962342627e-06,2.933658286559396e-06,8.849372791377138e-10,1.3653137231980206
